Id	Title	Found words	Abstract (beginning)
28758339	Mitofusin 1 and optic atrophy 1 shift metabolism to mitochondrial respiration during aging.	lifespan, aging	Replicative and chronological lifespan are two different modes of cellular aging. Chronological lifespan is defined as the duration during which quiescent normal cells retain their capacity to re-enter the proliferative cycle. This study investigated whether changes in metabolism occur during aging of quiescent normal human fibroblasts (NHFs) and the mechanisms that regulate these changes. Bioenergetics measurements were taken in quiescent NHFs from younger (newborn, 3-day, 5-month, and 1-year) and older (58-, 61-, 63-, 68-, and 70-year) healthy donors as well as NHFs from the same individual at different ages (29, 36, and 46 years). Results show significant changes in cellular metabolism during aging of quiescent NHFs: Old NHFs exhibit a significant decrease in glycolytic flux and lactate levels, and increase in oxygen consumption rate (OCR) and ATP levels compared to young NHFs. Results from the Seahorse XF Cell Mito Stress Test show that old NHFs with a lower Bioenergetic Health Ind…
28624737	Optical properties of the human lens constituents.	aging	The absorption and fluorescence properties of the metabolomic (MET), water-soluble and urea-soluble protein fractions from the middle-age, aged, and cataractous human lenses have been measured. At 280nm and 300nm the major lens absorbers are crystallins, which absorb more than 90% of light in the UV-B region (280-315nm). In middle-aged lenses, the absorption at 360nm is mostly provided by UV filters contained in the MET fraction. With aging, and especially with the cataract development, the absorption of MET fraction in UV-A region (315-400nm) decreases due to the drop of the UV filter concentration, while the absorption of protein fractions increases due to the accumulation of post-translational modifications. Consequently, the contribution of the MET fraction into the total lens absorption at 360nm decays from 63% in middle-aged lenses to 25% in aged lenses to 3% in cataractous lenses. The fluorescence yield of the MET fraction from cataractous lenses also significantly increases. Th…
22834969	Human serum metabolic profiles are age dependent.	aging	Understanding the complexity of aging is of utmost importance. This can now be addressed by the novel and powerful approach of metabolomics. However, to date, only a few metabolic studies based on large samples are available. Here, we provide novel and specific information on age-related metabolite concentration changes in human homeostasis. We report results from two population-based studies: the KORA F4 study from Germany as a discovery cohort, with 1038 female and 1124 male participants (32-81 years), and the TwinsUK study as replication, with 724 female participants. Targeted metabolomics of fasting serum samples quantified 131 metabolites by FIA-MS/MS. Among these, 71/34 metabolites were significantly associated with age in women/men (BMI adjusted). We further identified a set of 13 independent metabolites in women (with P values ranging from 4.6 × 10(-04) to 7.8 × 10(-42) , α(corr) = 0.004). Eleven of these 13 metabolites were replicated in the TwinsUK study, including seven meta…
3299702	Human aging: usual and successful.	aging	Research in aging has emphasized average age-related losses and neglected the substantial heterogeneity of older persons. The effects of the aging process itself have been exaggerated, and the modifying effects of diet, exercise, personal habits, and psychosocial factors underestimated. Within the category of normal aging, a distinction can be made between usual aging, in which extrinsic factors heighten the effects of aging alone, and successful aging, in which extrinsic factors play a neutral or positive role. Research on the risks associated with usual aging and strategies to modify them should help elucidate how a transition from usual to successful aging can be facilitated.
29266515	Altered macromolecular pattern and content in the aging human brain.	aging	The resonances originating from proteins underlie those of metabolites in brain  H nuclear magnetic resonance (NMR) spectra. These resonances have different physical properties from those of metabolites, such as shorter T and T relaxation time constants. The age dependence of the macromolecular pattern and content in the human brain was investigated with a focus on adults over 66 years of age using ultrahigh-field in vivo magnetic resonance spectroscopy. Eighteen young and 23 cognitively normal older adults were studied at 7 T. Metabolite spectra were acquired in the occipital cortex and the posterior cingulate cortex with single-voxel stimulated echo acquisition mode (STEAM) spectroscopy in 14 young and 20 older adults. Macromolecular spectra were acquired in the occipital cortex using an inversion recovery STEAM sequence in four young and three older adults. The macromolecular pattern was apparent over the 0.5-4.5-ppm range in the inversion recovery spectra and the 0.5-2-ppm range in…
26198148	Noncoding Transcriptional Landscape in Human Aging.	aging	Aging is a universal phenomenon in metazoans, characterized by a general decline of the organism physiology associated with an increased risk of mortality and morbidity. Aging of an organism correlates with a decline in function of its cells, as shown for muscle, immune, and neuronal cells. As the DNA content of most cells within an organism remains largely identical throughout the life span, age-associated transcriptional changes must be achieved by epigenetic mechanisms. However, how aging may impact on the epigenetic state of cells is only beginning to be understood. In light of a growing number of studies demonstrating that noncoding RNAs can provide molecular signals that regulate expression of protein-coding genes and define epigenetic states of cells, we hypothesize that noncoding RNAs could play a direct role in inducing age-associated profiles of gene expression. In this context, the role of long noncoding RNAs (lncRNAs) as regulators of gene expression might be important for …
27988482	Toward a More Comprehensive Concept of Successful Aging: Disability and Care Needs.	aging	Rowe and Kahn's model of Successful Aging 2.0 argues that changing environmental settings, societal policies, and individual life styles will lead to a significant extension of healthy life years. Recent epidemiological research, however, confirms the dilemma that the ongoing extension of life expectancy prolongs not only the years in good health but also those in poor health. We see it as a major limitation that Rowe and Kahn's model is not able to cover the emerging linkage between increasing life expectation and aging with disability and care needs. Therefore, we suggest a set of propositions towards a more comprehensive model of successful aging which captures desirable living situations including for those who grow old with disabilities and care needs. We describe individual, environmental, and care related strategies and resources for autonomy and quality of life when facing disabilities and care needs in late life, putting emphasis on inter-individual differences and social ineq…
26511272	Aging in Precarious Circumstances: Do Positive Views on Aging Make a Difference?	aging	Purpose of the study: Precariousness, defined as low income combined with lack of security for retirement, can influence the way people grow old and result in health inequalities in old age.    Design and methods: A sequential mixed methods approach was used to identify differences in behavioral (physical activity), social (social network), and psychological resources (positive views on aging) that middle-aged individuals from both precarious and financially secure backgrounds use in preparation for positive aging and keep high levels of health and well-being. It was investigated whether positive views on aging can compensate the detrimental association of a lack of resources with health and well-being in midlife. Data from the German Aging Survey (N = 1,992 in the secure group, N = 240 in the precarious group) were analyzed to understand the relationship between resources on the one hand and health and well-being on the other, as well as to compare the strategies of individuals with p…
25620575	A new hypothesis of aging.	longevity, lifespan, aging	INTRODUCTION AND AIMS: There are over 300 hypotheses of aging, but none of them has enough predictive power to explain most experiments and observations on this process. On the basis of a critical analysis of the most relevant data on aging, especially on the factors that influences its rhythm, we present a new hypothesis, as well as the way the hypothesis' predictions explain some of the phylogenetic implications of the aging process.    METHODS: The hypothesis starts from a new, biochemical view on evolution and the behavior of living matter. According to this view, life is a fabric of chemical reactions that sustain each other. Reactants and energy support are needed for these reactions to take place in a cell. Given this, aging stems from a leftward shift of the global equilibrium of some biochemical reactions involved in cell differentiation and repair, which take place at a high level during the organism's growth period. In time, for species with evident aging, some reactions los…
24155214	Motor function is associated with 1,25(OH)(2)D and indices of insulin-glucose dynamics in non-diabetic older adults.	aging	BACKGROUND: Advancing age is accompanied by changes in metabolic characteristics, such as reduced insulin sensitivity and low levels of vitamin D, which may exacerbate age-related declines in physical function.    AIMS: The aim of the present study was to determine the associations between insulin-glucose dynamics, vitamin D metabolites, and performance on a battery of motor tasks in healthy, non-diabetic older adults.    METHODS: Sixty-nine community-dwelling men and women (65-90 years) were recruited. Insulin-glucose dynamics were determined by an intravenous glucose tolerance test, and vitamin D metabolites were measured. Motor function was characterized by the time to walk 500 m, chair-rise time, lower body strength, dorsiflexor steadiness and endurance time, and muscle coactivation.    RESULTS: Significant unadjusted correlations were found between insulin-glucose dynamics and 1,25-dihydroxyvitamin D [1,25(OH)2D] with walk time, strength, steadiness, endurance time, and muscle act…
